form,date,accession,document,size_bytes,ticker,cik,edgar_url
10-Q,2026-05-01,0000320193-26-000013,aapl-20260328.htm,5809851,AAPL,320193,https://www.sec.gov/Archives/edgar/data/320193/000032019326000013/0000320193-26-000013-index.htm
8-K,2026-04-30,0000320193-26-000011,aapl-20260430.htm,412047,AAPL,320193,https://www.sec.gov/Archives/edgar/data/320193/000032019326000011/0000320193-26-000011-index.htm
8-K,2026-04-20,0001140361-26-015711,ef20071035_8k.htm,239761,AAPL,320193,https://www.sec.gov/Archives/edgar/data/320193/000114036126015711/0001140361-26-015711-index.htm
8-K,2026-02-24,0001140361-26-006577,ef20060722_8k.htm,415164,AAPL,320193,https://www.sec.gov/Archives/edgar/data/320193/000114036126006577/0001140361-26-006577-index.htm
10-Q,2026-01-30,0000320193-26-000006,aapl-20251227.htm,5191740,AAPL,320193,https://www.sec.gov/Archives/edgar/data/320193/000032019326000006/0000320193-26-000006-index.htm
8-K,2026-01-29,0000320193-26-000005,aapl-20260129.htm,384366,AAPL,320193,https://www.sec.gov/Archives/edgar/data/320193/000032019326000005/0000320193-26-000005-index.htm
8-K,2026-01-02,0001140361-26-000199,ef20060722_8k.htm,240271,AAPL,320193,https://www.sec.gov/Archives/edgar/data/320193/000114036126000199/0001140361-26-000199-index.htm
8-K,2025-12-05,0001140361-25-044561,ef20060722_8k.htm,238615,AAPL,320193,https://www.sec.gov/Archives/edgar/data/320193/000114036125044561/0001140361-25-044561-index.htm
10-K,2025-10-31,0000320193-25-000079,aapl-20250927.htm,9392337,AAPL,320193,https://www.sec.gov/Archives/edgar/data/320193/000032019325000079/0000320193-25-000079-index.htm
8-K,2025-10-30,0000320193-25-000077,aapl-20251030.htm,453184,AAPL,320193,https://www.sec.gov/Archives/edgar/data/320193/000032019325000077/0000320193-25-000077-index.htm
10-Q,2025-08-01,0000320193-25-000073,aapl-20250628.htm,5304776,AAPL,320193,https://www.sec.gov/Archives/edgar/data/320193/000032019325000073/0000320193-25-000073-index.htm
8-K,2025-07-31,0000320193-25-000071,aapl-20250731.htm,420256,AAPL,320193,https://www.sec.gov/Archives/edgar/data/320193/000032019325000071/0000320193-25-000071-index.htm
8-K,2025-07-25,0001140361-25-027340,ef20052355_8k.htm,245111,AAPL,320193,https://www.sec.gov/Archives/edgar/data/320193/000114036125027340/0001140361-25-027340-index.htm
8-K,2025-07-09,0001140361-25-025275,ef20051741_8k.htm,243370,AAPL,320193,https://www.sec.gov/Archives/edgar/data/320193/000114036125025275/0001140361-25-025275-index.htm
8-K,2025-05-12,0001140361-25-018400,ef20048691_8k.htm,887109,AAPL,320193,https://www.sec.gov/Archives/edgar/data/320193/000114036125018400/0001140361-25-018400-index.htm
10-Q,2025-05-02,0000320193-25-000057,aapl-20250329.htm,5299807,AAPL,320193,https://www.sec.gov/Archives/edgar/data/320193/000032019325000057/0000320193-25-000057-index.htm
8-K,2025-05-01,0000320193-25-000055,aapl-20250501.htm,436093,AAPL,320193,https://www.sec.gov/Archives/edgar/data/320193/000032019325000055/0000320193-25-000055-index.htm
8-K,2025-02-25,0001140361-25-005876,ef20044022_8k.htm,291815,AAPL,320193,https://www.sec.gov/Archives/edgar/data/320193/000114036125005876/0001140361-25-005876-index.htm
10-Q,2025-01-31,0000320193-25-000008,aapl-20241228.htm,5150277,AAPL,320193,https://www.sec.gov/Archives/edgar/data/320193/000032019325000008/0000320193-25-000008-index.htm
8-K,2025-01-30,0000320193-25-000007,aapl-20250130.htm,407697,AAPL,320193,https://www.sec.gov/Archives/edgar/data/320193/000032019325000007/0000320193-25-000007-index.htm
8-K,2025-01-03,0001140361-25-000228,ef20040370_8k.htm,263081,AAPL,320193,https://www.sec.gov/Archives/edgar/data/320193/000114036125000228/0001140361-25-000228-index.htm
10-K,2024-11-01,0000320193-24-000123,aapl-20240928.htm,9759333,AAPL,320193,https://www.sec.gov/Archives/edgar/data/320193/000032019324000123/0000320193-24-000123-index.htm
8-K,2024-10-31,0000320193-24-000120,aapl-20241031.htm,469716,AAPL,320193,https://www.sec.gov/Archives/edgar/data/320193/000032019324000120/0000320193-24-000120-index.htm
8-K,2024-09-10,0001140361-24-040659,ef20035718_8k.htm,1248169,AAPL,320193,https://www.sec.gov/Archives/edgar/data/320193/000114036124040659/0001140361-24-040659-index.htm
8-K,2024-08-26,0001140361-24-038601,ny20033611x3_8k.htm,1242096,AAPL,320193,https://www.sec.gov/Archives/edgar/data/320193/000114036124038601/0001140361-24-038601-index.htm
8-K,2024-08-23,0001140361-24-038403,ny20033611x2_8k.htm,1131218,AAPL,320193,https://www.sec.gov/Archives/edgar/data/320193/000114036124038403/0001140361-24-038403-index.htm
10-Q,2024-08-02,0000320193-24-000081,aapl-20240629.htm,5372771,AAPL,320193,https://www.sec.gov/Archives/edgar/data/320193/000032019324000081/0000320193-24-000081-index.htm
8-K,2024-08-01,0000320193-24-000080,aapl-20240801.htm,437770,AAPL,320193,https://www.sec.gov/Archives/edgar/data/320193/000032019324000080/0000320193-24-000080-index.htm
8-K,2024-05-03,0001140361-24-024352,ef20028273_8k.htm,1131483,AAPL,320193,https://www.sec.gov/Archives/edgar/data/320193/000114036124024352/0001140361-24-024352-index.htm
10-Q,2024-05-03,0000320193-24-000069,aapl-20240330.htm,5284139,AAPL,320193,https://www.sec.gov/Archives/edgar/data/320193/000032019324000069/0000320193-24-000069-index.htm
8-K,2024-05-02,0000320193-24-000067,aapl-20240502.htm,436360,AAPL,320193,https://www.sec.gov/Archives/edgar/data/320193/000032019324000067/0000320193-24-000067-index.htm
8-K,2024-02-28,0001140361-24-010155,ny20022580x1_8k.htm,859597,AAPL,320193,https://www.sec.gov/Archives/edgar/data/320193/000114036124010155/0001140361-24-010155-index.htm
10-Q,2024-02-02,0000320193-24-000006,aapl-20231230.htm,4984121,AAPL,320193,https://www.sec.gov/Archives/edgar/data/320193/000032019324000006/0000320193-24-000006-index.htm
8-K,2024-02-01,0000320193-24-000005,aapl-20240201.htm,412459,AAPL,320193,https://www.sec.gov/Archives/edgar/data/320193/000032019324000005/0000320193-24-000005-index.htm
10-K,2023-11-03,0000320193-23-000106,aapl-20230930.htm,9569569,AAPL,320193,https://www.sec.gov/Archives/edgar/data/320193/000032019323000106/0000320193-23-000106-index.htm
8-K,2023-11-02,0000320193-23-000104,aapl-20231102.htm,450675,AAPL,320193,https://www.sec.gov/Archives/edgar/data/320193/000032019323000104/0000320193-23-000104-index.htm
10-Q,2023-08-04,0000320193-23-000077,aapl-20230701.htm,5939898,AAPL,320193,https://www.sec.gov/Archives/edgar/data/320193/000032019323000077/0000320193-23-000077-index.htm
8-K,2023-08-03,0000320193-23-000075,aapl-20230803.htm,452428,AAPL,320193,https://www.sec.gov/Archives/edgar/data/320193/000032019323000075/0000320193-23-000075-index.htm
8-K,2023-05-10,0001140361-23-023909,ny20007635x4_8k.htm,932286,AAPL,320193,https://www.sec.gov/Archives/edgar/data/320193/000114036123023909/0001140361-23-023909-index.htm
10-Q,2023-05-05,0000320193-23-000064,aapl-20230401.htm,6314786,AAPL,320193,https://www.sec.gov/Archives/edgar/data/320193/000032019323000064/0000320193-23-000064-index.htm
8-K,2023-05-04,0000320193-23-000063,aapl-20230504.htm,493947,AAPL,320193,https://www.sec.gov/Archives/edgar/data/320193/000032019323000063/0000320193-23-000063-index.htm
8-K,2023-03-10,0001140361-23-011192,brhc10049413_8k.htm,312760,AAPL,320193,https://www.sec.gov/Archives/edgar/data/320193/000114036123011192/0001140361-23-011192-index.htm
10-Q,2023-02-03,0000320193-23-000006,aapl-20221231.htm,5915088,AAPL,320193,https://www.sec.gov/Archives/edgar/data/320193/000032019323000006/0000320193-23-000006-index.htm
8-K,2023-02-02,0000320193-23-000005,aapl-20230202.htm,464814,AAPL,320193,https://www.sec.gov/Archives/edgar/data/320193/000032019323000005/0000320193-23-000005-index.htm
8-K,2022-11-07,0001193125-22-278435,d400465d8k.htm,299395,AAPL,320193,https://www.sec.gov/Archives/edgar/data/320193/000119312522278435/0001193125-22-278435-index.htm
10-K,2022-10-28,0000320193-22-000108,aapl-20220924.htm,10332356,AAPL,320193,https://www.sec.gov/Archives/edgar/data/320193/000032019322000108/0000320193-22-000108-index.htm
8-K,2022-10-27,0000320193-22-000107,aapl-20221027.htm,506714,AAPL,320193,https://www.sec.gov/Archives/edgar/data/320193/000032019322000107/0000320193-22-000107-index.htm
8-K,2022-08-19,0001193125-22-225365,d366128d8k.htm,600283,AAPL,320193,https://www.sec.gov/Archives/edgar/data/320193/000119312522225365/0001193125-22-225365-index.htm
8-K,2022-08-08,0001193125-22-214914,d297151d8k.htm,729124,AAPL,320193,https://www.sec.gov/Archives/edgar/data/320193/000119312522214914/0001193125-22-214914-index.htm
10-Q,2022-07-29,0000320193-22-000070,aapl-20220625.htm,6109993,AAPL,320193,https://www.sec.gov/Archives/edgar/data/320193/000032019322000070/0000320193-22-000070-index.htm
