ticker,signal,horizon,corr,pval,n,significant
AAL,norm_sentiment,1,0.0764,0.3876,130,False
AAL,norm_sentiment,2,-0.0027,0.976,130,False
AAL,norm_sentiment,3,0.1799,0.0406,130,True
AAL,norm_sentiment,5,0.0267,0.7632,130,False
AAL,norm_sentiment,7,-0.0929,0.2932,130,False
AAL,norm_sentiment,10,-0.0192,0.8284,130,False
AAL,norm_sentiment,21,-0.113,0.2007,130,False
AAL,adaptive_sentiment,1,0.0641,0.0103,1604,True
AAL,adaptive_sentiment,2,0.0702,0.0049,1604,True
AAL,adaptive_sentiment,3,0.0264,0.29,1604,False
AAL,adaptive_sentiment,5,-0.0105,0.6735,1604,False
AAL,adaptive_sentiment,7,-0.0238,0.3411,1604,False
AAL,adaptive_sentiment,10,-0.0177,0.4778,1604,False
AAL,adaptive_sentiment,21,-0.0187,0.4552,1602,False
AAL,roll_3d,1,0.1365,0.0108,348,True
AAL,roll_3d,2,0.1423,0.0079,348,True
AAL,roll_3d,3,0.1414,0.0082,348,True
AAL,roll_3d,5,-0.0323,0.548,348,False
AAL,roll_3d,7,0.0092,0.8637,348,False
AAL,roll_3d,10,0.0061,0.9103,348,False
AAL,roll_3d,21,-0.0549,0.3073,348,False
AAL,roll_5d,1,0.1345,0.0016,546,True
AAL,roll_5d,2,0.1595,0.0002,546,True
AAL,roll_5d,3,0.0518,0.2266,546,False
AAL,roll_5d,5,0.0014,0.9738,546,False
AAL,roll_5d,7,-0.0062,0.8851,546,False
AAL,roll_5d,10,0.0263,0.5394,546,False
AAL,roll_5d,21,-0.0319,0.4576,546,False
AAL,roll_7d,1,0.1292,0.0005,725,True
AAL,roll_7d,2,0.1033,0.0054,725,True
AAL,roll_7d,3,0.0408,0.2724,725,False
AAL,roll_7d,5,0.0091,0.807,725,False
AAL,roll_7d,7,-0.0231,0.534,725,False
AAL,roll_7d,10,0.0142,0.7027,725,False
AAL,roll_7d,21,-0.0609,0.1011,725,False
AAL,roll_21d,1,0.0617,0.0101,1737,True
AAL,roll_21d,2,0.0574,0.0167,1737,True
AAL,roll_21d,3,0.0116,0.6278,1737,False
AAL,roll_21d,5,-0.0199,0.4078,1737,False
AAL,roll_21d,7,-0.0161,0.5037,1737,False
AAL,roll_21d,10,-0.0145,0.547,1737,False
AAL,roll_21d,21,-0.0201,0.4037,1735,False
AAL,volume_surge,1,0.0207,0.1791,4203,False
AAL,volume_surge,2,-0.0039,0.8011,4204,False
AAL,volume_surge,3,0.0232,0.1329,4203,False
AAL,volume_surge,5,0.0356,0.0211,4195,True
AAL,volume_surge,7,0.0049,0.7488,4196,False
AAL,volume_surge,10,-0.007,0.6499,4189,False
AAL,volume_surge,21,-0.0218,0.1596,4175,False
AAOI,adaptive_sentiment,1,-0.0233,0.6866,302,False
AAOI,adaptive_sentiment,2,-0.0412,0.4768,301,False
