sent_ticker,price_ticker,avg_corr,consistency,direction
RAY,ATGL,0.3765,0.716,positive
MIND,STRK,0.3495,0.561,positive
GOOGL,PARK,0.3485,0.592,positive
NFLX,PTRN,-0.3438,0.525,negative
EVRG,FIGR,0.3191,0.685,positive
STRK,FIGR,0.3015,0.581,positive
LASR,FLY,0.2874,0.583,positive
TASK,FGL,0.282,0.651,positive
LASR,FIGR,0.2814,0.538,positive
BOOM,PTRN,-0.2787,0.525,negative
XBIT,PRE,-0.2758,0.566,negative
HUBG,INTJ,0.264,0.544,positive
PTRN,CLIK,-0.263,0.637,negative
DLO,FIGR,-0.2626,0.63,negative
FIGR,ATGL,0.257,0.618,positive
INTJ,ATGL,-0.2554,0.53,negative
BIRD,CLIK,-0.2466,0.478,negative
XBIT,ARRY,0.246,0.648,positive
PLTR,PTRN,-0.2408,0.431,negative
FEED,CLIK,-0.2407,0.48,negative
CRM,FGL,0.2391,0.427,positive
ADV,RAY,-0.2389,0.418,negative
TASK,RENT,0.2381,0.639,positive
LAKE,TASK,-0.2365,0.556,negative
OKTA,FGL,0.2318,0.663,positive
RENT,ARRY,0.2317,0.601,positive
COIN,PTRN,-0.2287,0.427,negative
WMT,ATGL,-0.2286,0.645,negative
QQQ,INTJ,-0.228,0.485,negative
LYFT,ADV,-0.2279,0.522,negative
AMD,PTRN,0.2255,0.481,positive
VS,EVRG,0.223,0.527,positive
HCSG,FGL,0.2221,0.413,positive
OKTA,STRK,0.2213,0.613,positive
NFLX,INTJ,0.22,0.442,positive
OKTA,INTJ,-0.218,0.347,negative
QQQ,STHO,-0.2179,0.406,negative
HCSG,CLIK,0.2155,0.508,positive
PYPL,FGL,-0.2152,0.506,negative
PLTR,FLY,0.2137,0.39,positive
VS,HOOD,0.2116,0.427,positive
ADBE,TASK,0.2112,0.399,positive
TILE,RAY,-0.2107,0.496,negative
CARE,CLIK,-0.2102,0.427,negative
PARK,PLTR,0.2085,0.455,positive
RENT,ABNB,0.2076,0.492,positive
PARK,DDOG,0.2058,0.396,positive
QCOM,COIN,0.205,0.376,positive
EHTH,FIGR,-0.2019,0.329,negative
BAND,ATGL,-0.2016,0.333,negative
PARK,ATGL,0.201,0.311,positive
PARK,TASK,0.201,0.351,positive
LYFT,RENT,-0.2007,0.346,negative
PARK,EYE,0.2,0.409,positive
STRK,PTRN,-0.1992,0.458,negative
RENT,COIN,0.199,0.354,positive
ROOT,PRE,0.1935,0.391,positive
MRNA,FGL,-0.1912,0.397,negative
LYFT,SOGP,0.1909,0.496,positive
ATGL,COIN,0.1907,0.552,positive
ADBE,ABNB,0.1907,0.485,positive
PRE,BULL,0.1902,0.369,positive
QCOM,RAY,0.1899,0.321,positive
PRE,INTJ,0.189,0.411,positive
BOT,INTJ,-0.1836,0.392,negative
ADBE,COIN,0.1816,0.301,positive
XBIT,STEP,0.1812,0.309,positive
ROOT,STEP,-0.1808,0.422,negative
CLIK,ABNB,0.1801,0.487,positive
AAPL,STRK,-0.1798,0.476,negative
QCOM,HCSG,0.177,0.472,positive
XBIT,BULL,0.1756,0.358,positive
NICE,MRNA,-0.1754,0.48,negative
STRK,CLIK,-0.1752,0.369,negative
DLO,INTJ,-0.1742,0.361,negative
NICE,BULL,-0.1723,0.355,negative
ROOT,EYE,-0.1721,0.326,negative
QQQ,BULL,0.1721,0.41,positive
PARK,AGNCM,0.1708,0.308,positive
ATGL,NICE,-0.1706,0.374,negative
ATGL,AGNCM,-0.1698,0.364,negative
CRWD,INTJ,0.1697,0.37,positive
ADBE,BULL,-0.1688,0.475,negative
QCOM,SOGP,0.1664,0.359,positive
HCSG,STEP,0.1651,0.404,positive
LAKE,GEN,-0.1642,0.346,negative
MIND,PLTR,0.1614,0.301,positive
CARE,RENT,0.1605,0.341,positive
FEED,BIRD,-0.1605,0.416,negative
QQQ,MRNA,-0.1601,0.407,negative
LAKE,BIRD,-0.159,0.419,negative
BAND,LYFT,0.1586,0.349,positive
MU,ATGL,-0.1578,0.315,negative
MDB,PARK,0.1578,0.333,positive
QQQ,COIN,-0.1556,0.41,negative
QCOM,ARRY,0.1554,0.309,positive
RENT,DLO,0.1546,0.376,positive
INTC,FIGR,0.1544,0.331,positive
PYPL,INTJ,-0.1527,0.333,negative
TASK,STEP,0.1522,0.356,positive
GEN,ATGL,0.1515,0.377,positive
ATGL,TILE,-0.1511,0.343,negative
JACK,EVER,0.1508,0.309,positive
BAND,SOGP,0.1506,0.378,positive
PARK,CAR,0.1505,0.337,positive
LAKE,ABNB,-0.1492,0.489,negative
FORM,STHO,-0.1473,0.4,negative
ATGL,VS,0.1443,0.41,positive
HOOD,MDB,0.1428,0.341,positive
SOGP,STHO,0.1422,0.321,positive
FIGR,STHO,-0.1413,0.411,negative
RENT,PLTR,0.1405,0.343,positive
QQQ,HOOD,-0.1403,0.342,negative
ADV,ABNB,0.1401,0.402,positive
TSM,RAY,-0.1384,0.305,negative
FLY,RARE,-0.1373,0.359,negative
BOT,EVER,0.134,0.302,positive
MTCH,INCY,-0.1339,0.326,negative
RENT,OKTA,0.1334,0.379,positive
RAY,FEED,0.1333,0.356,positive
EYE,FIVE,-0.1329,0.349,negative
FEED,SHOP,-0.1311,0.308,negative
NICE,CRWD,-0.1306,0.315,negative
HCSG,GEN,-0.1275,0.383,negative
DSGR,PLTR,0.1263,0.338,positive
WMT,STEP,-0.1245,0.327,negative
RENT,DDOG,0.1227,0.311,positive
ATGL,BAND,-0.1218,0.324,negative
