form,date,accession,document,size_bytes,ticker,cik,edgar_url
8-K,2026-06-22,0001104659-26-076376,tm2618192d1_8k.htm,350706,CRWD,0001535527,https://www.sec.gov/Archives/edgar/data/1535527/000110465926076376/0001104659-26-076376-index.htm
10-Q,2026-06-04,0001535527-26-000025,crwd-20260430.htm,9444319,CRWD,0001535527,https://www.sec.gov/Archives/edgar/data/1535527/000153552726000025/0001535527-26-000025-index.htm
8-K,2026-06-03,0001535527-26-000022,crwd-20260603.htm,619021,CRWD,0001535527,https://www.sec.gov/Archives/edgar/data/1535527/000153552726000022/0001535527-26-000022-index.htm
8-K,2026-04-21,0001535527-26-000018,crwd-20260416.htm,339265,CRWD,0001535527,https://www.sec.gov/Archives/edgar/data/1535527/000153552726000018/0001535527-26-000018-index.htm
8-K,2026-04-06,0001535527-26-000013,crwd-20260406.htm,162553,CRWD,0001535527,https://www.sec.gov/Archives/edgar/data/1535527/000153552726000013/0001535527-26-000013-index.htm
10-K,2026-03-05,0001535527-26-000010,crwd-20260131.htm,13406684,CRWD,0001535527,https://www.sec.gov/Archives/edgar/data/1535527/000153552726000010/0001535527-26-000010-index.htm
8-K,2026-03-03,0001535527-26-000007,crwd-20260303.htm,834193,CRWD,0001535527,https://www.sec.gov/Archives/edgar/data/1535527/000153552726000007/0001535527-26-000007-index.htm
8-K,2025-12-29,0001104659-25-124912,tm2534248d1_8k.htm,349634,CRWD,0001535527,https://www.sec.gov/Archives/edgar/data/1535527/000110465925124912/0001104659-25-124912-index.htm
10-Q,2025-12-03,0001535527-25-000033,crwd-20251031.htm,9792509,CRWD,0001535527,https://www.sec.gov/Archives/edgar/data/1535527/000153552725000033/0001535527-25-000033-index.htm
8-K,2025-12-02,0001535527-25-000030,crwd-20251202.htm,820158,CRWD,0001535527,https://www.sec.gov/Archives/edgar/data/1535527/000153552725000030/0001535527-25-000030-index.htm
10-Q,2025-08-28,0001535527-25-000025,crwd-20250731.htm,9777270,CRWD,0001535527,https://www.sec.gov/Archives/edgar/data/1535527/000153552725000025/0001535527-25-000025-index.htm
8-K,2025-08-27,0001535527-25-000023,crwd-20250827.htm,819374,CRWD,0001535527,https://www.sec.gov/Archives/edgar/data/1535527/000153552725000023/0001535527-25-000023-index.htm
8-K,2025-06-20,0001104659-25-061216,tm2518570d1_8k.htm,197110,CRWD,0001535527,https://www.sec.gov/Archives/edgar/data/1535527/000110465925061216/0001104659-25-061216-index.htm
10-Q,2025-06-04,0001535527-25-000019,crwd-20250430.htm,8266622,CRWD,0001535527,https://www.sec.gov/Archives/edgar/data/1535527/000153552725000019/0001535527-25-000019-index.htm
8-K,2025-06-03,0001535527-25-000017,crwd-20250603.htm,616828,CRWD,0001535527,https://www.sec.gov/Archives/edgar/data/1535527/000153552725000017/0001535527-25-000017-index.htm
8-K,2025-05-07,0001104659-25-045244,tm2514190d1_8k.htm,218646,CRWD,0001535527,https://www.sec.gov/Archives/edgar/data/1535527/000110465925045244/0001104659-25-045244-index.htm
8-K,2025-04-25,0001104659-25-039500,tm2513136d1_8k.htm,197028,CRWD,0001535527,https://www.sec.gov/Archives/edgar/data/1535527/000110465925039500/0001104659-25-039500-index.htm
8-K,2025-04-18,0001104659-25-036392,tm2512714d1_8k.htm,197250,CRWD,0001535527,https://www.sec.gov/Archives/edgar/data/1535527/000110465925036392/0001104659-25-036392-index.htm
10-K,2025-03-10,0001535527-25-000009,crwd-20250131.htm,11807896,CRWD,0001535527,https://www.sec.gov/Archives/edgar/data/1535527/000153552725000009/0001535527-25-000009-index.htm
8-K,2025-03-04,0001535527-25-000005,crwd-20250304.htm,818125,CRWD,0001535527,https://www.sec.gov/Archives/edgar/data/1535527/000153552725000005/0001535527-25-000005-index.htm
8-K,2025-02-20,0001104659-25-015279,tm257102d1_8k.htm,196703,CRWD,0001535527,https://www.sec.gov/Archives/edgar/data/1535527/000110465925015279/0001104659-25-015279-index.htm
8-K,2024-12-13,0001104659-24-128515,tm2430723d1_8k.htm,228929,CRWD,0001535527,https://www.sec.gov/Archives/edgar/data/1535527/000110465924128515/0001104659-24-128515-index.htm
10-Q,2024-11-27,0001535527-24-000026,crwd-20241031.htm,14718115,CRWD,0001535527,https://www.sec.gov/Archives/edgar/data/1535527/000153552724000026/0001535527-24-000026-index.htm
8-K,2024-11-26,0001535527-24-000024,crwd-20241126.htm,817059,CRWD,0001535527,https://www.sec.gov/Archives/edgar/data/1535527/000153552724000024/0001535527-24-000024-index.htm
10-Q,2024-08-29,0001535527-24-000020,crwd-20240731.htm,8637496,CRWD,0001535527,https://www.sec.gov/Archives/edgar/data/1535527/000153552724000020/0001535527-24-000020-index.htm
8-K,2024-08-28,0001535527-24-000017,crwd-20240828.htm,784675,CRWD,0001535527,https://www.sec.gov/Archives/edgar/data/1535527/000153552724000017/0001535527-24-000017-index.htm
8-K,2024-07-22,0001104659-24-081571,tm2419936d1_8k.htm,200625,CRWD,0001535527,https://www.sec.gov/Archives/edgar/data/1535527/000110465924081571/0001104659-24-081571-index.htm
8-K,2024-06-21,0001104659-24-073944,tm2417737d1_8k.htm,210050,CRWD,0001535527,https://www.sec.gov/Archives/edgar/data/1535527/000110465924073944/0001104659-24-073944-index.htm
10-Q,2024-06-05,0001535527-24-000013,crwd-20240430.htm,8643918,CRWD,0001535527,https://www.sec.gov/Archives/edgar/data/1535527/000153552724000013/0001535527-24-000013-index.htm
8-K,2024-06-04,0001535527-24-000011,crwd-20240604.htm,570791,CRWD,0001535527,https://www.sec.gov/Archives/edgar/data/1535527/000153552724000011/0001535527-24-000011-index.htm
10-K,2024-03-07,0001535527-24-000007,crwd-20240131.htm,23482018,CRWD,0001535527,https://www.sec.gov/Archives/edgar/data/1535527/000153552724000007/0001535527-24-000007-index.htm
8-K,2024-03-05,0001535527-24-000004,crwd-20240305.htm,781420,CRWD,0001535527,https://www.sec.gov/Archives/edgar/data/1535527/000153552724000004/0001535527-24-000004-index.htm
10-Q,2023-11-29,0001535527-23-000026,crwd-20231031.htm,8285173,CRWD,0001535527,https://www.sec.gov/Archives/edgar/data/1535527/000153552723000026/0001535527-23-000026-index.htm
8-K,2023-11-28,0001535527-23-000024,crwd-20231128.htm,782815,CRWD,0001535527,https://www.sec.gov/Archives/edgar/data/1535527/000153552723000024/0001535527-23-000024-index.htm
10-Q,2023-08-31,0001535527-23-000020,crwd-20230731.htm,8115767,CRWD,0001535527,https://www.sec.gov/Archives/edgar/data/1535527/000153552723000020/0001535527-23-000020-index.htm
8-K,2023-08-30,0001535527-23-000018,crwd-20230830.htm,758747,CRWD,0001535527,https://www.sec.gov/Archives/edgar/data/1535527/000153552723000018/0001535527-23-000018-index.htm
8-K,2023-06-22,0001104659-23-073728,tm2319334d1_8k.htm,205187,CRWD,0001535527,https://www.sec.gov/Archives/edgar/data/1535527/000110465923073728/0001104659-23-073728-index.htm
10-Q,2023-06-01,0001535527-23-000014,crwd-20230430.htm,7514910,CRWD,0001535527,https://www.sec.gov/Archives/edgar/data/1535527/000153552723000014/0001535527-23-000014-index.htm
8-K,2023-05-31,0001535527-23-000012,crwd-20230531.htm,617448,CRWD,0001535527,https://www.sec.gov/Archives/edgar/data/1535527/000153552723000012/0001535527-23-000012-index.htm
10-K,2023-03-09,0001535527-23-000008,crwd-20230131.htm,15988218,CRWD,0001535527,https://www.sec.gov/Archives/edgar/data/1535527/000153552723000008/0001535527-23-000008-index.htm
8-K,2023-03-07,0001535527-23-000006,crwd-20230307.htm,787895,CRWD,0001535527,https://www.sec.gov/Archives/edgar/data/1535527/000153552723000006/0001535527-23-000006-index.htm
8-K,2023-03-03,0001104659-23-028507,tm238330d1_8k.htm,302514,CRWD,0001535527,https://www.sec.gov/Archives/edgar/data/1535527/000110465923028507/0001104659-23-028507-index.htm
8-K,2023-01-23,0001104659-23-005624,tm234087d1_8k.htm,199443,CRWD,0001535527,https://www.sec.gov/Archives/edgar/data/1535527/000110465923005624/0001104659-23-005624-index.htm
10-Q,2022-11-30,0001535527-22-000025,crwd-20221031.htm,8981810,CRWD,0001535527,https://www.sec.gov/Archives/edgar/data/1535527/000153552722000025/0001535527-22-000025-index.htm
8-K,2022-11-29,0001535527-22-000023,crwd-20221129.htm,714727,CRWD,0001535527,https://www.sec.gov/Archives/edgar/data/1535527/000153552722000023/0001535527-22-000023-index.htm
10-Q,2022-08-31,0001535527-22-000018,crwd-20220731.htm,8740346,CRWD,0001535527,https://www.sec.gov/Archives/edgar/data/1535527/000153552722000018/0001535527-22-000018-index.htm
8-K,2022-08-30,0001535527-22-000016,crwd-20220830.htm,713975,CRWD,0001535527,https://www.sec.gov/Archives/edgar/data/1535527/000153552722000016/0001535527-22-000016-index.htm
8-K,2022-07-06,0001104659-22-077774,tm2220303d1_8k.htm,255443,CRWD,0001535527,https://www.sec.gov/Archives/edgar/data/1535527/000110465922077774/0001104659-22-077774-index.htm
10-Q,2022-06-03,0001535527-22-000012,crwd-20220430.htm,7677578,CRWD,0001535527,https://www.sec.gov/Archives/edgar/data/1535527/000153552722000012/0001535527-22-000012-index.htm
8-K,2022-06-02,0001535527-22-000010,crwd-20220602.htm,561220,CRWD,0001535527,https://www.sec.gov/Archives/edgar/data/1535527/000153552722000010/0001535527-22-000010-index.htm
8-K,2022-04-08,0001104659-22-044351,tm2212244d1_8k.htm,206129,CRWD,0001535527,https://www.sec.gov/Archives/edgar/data/1535527/000110465922044351/0001104659-22-044351-index.htm
10-K,2022-03-16,0001535527-22-000006,crwd-20220131.htm,20865856,CRWD,0001535527,https://www.sec.gov/Archives/edgar/data/1535527/000153552722000006/0001535527-22-000006-index.htm
8-K,2022-03-09,0001535527-22-000004,crwd-20220309.htm,806372,CRWD,0001535527,https://www.sec.gov/Archives/edgar/data/1535527/000153552722000004/0001535527-22-000004-index.htm
8-K,2022-01-14,0001104659-22-004504,tm222862d1_8k.htm,323701,CRWD,0001535527,https://www.sec.gov/Archives/edgar/data/1535527/000110465922004504/0001104659-22-004504-index.htm
8-K,2021-12-30,0001104659-21-154724,tm2136531d1_8k.htm,237904,CRWD,0001535527,https://www.sec.gov/Archives/edgar/data/1535527/000110465921154724/0001104659-21-154724-index.htm
10-Q,2021-12-02,0001535527-21-000028,crwd-20211031.htm,9861038,CRWD,0001535527,https://www.sec.gov/Archives/edgar/data/1535527/000153552721000028/0001535527-21-000028-index.htm
8-K,2021-12-01,0001535527-21-000026,crwd-20211201.htm,797044,CRWD,0001535527,https://www.sec.gov/Archives/edgar/data/1535527/000153552721000026/0001535527-21-000026-index.htm
8-K,2021-10-22,0001104659-21-129072,tm2130856d1_8k.htm,195888,CRWD,0001535527,https://www.sec.gov/Archives/edgar/data/1535527/000110465921129072/0001104659-21-129072-index.htm
8-K,2021-09-17,0001104659-21-117007,tm2127949d1_8k.htm,196473,CRWD,0001535527,https://www.sec.gov/Archives/edgar/data/1535527/000110465921117007/0001104659-21-117007-index.htm
10-Q,2021-09-01,0001535527-21-000022,crwd-20210731.htm,10128231,CRWD,0001535527,https://www.sec.gov/Archives/edgar/data/1535527/000153552721000022/0001535527-21-000022-index.htm
8-K,2021-08-31,0001535527-21-000017,crwd-20210831.htm,788022,CRWD,0001535527,https://www.sec.gov/Archives/edgar/data/1535527/000153552721000017/0001535527-21-000017-index.htm
8-K,2021-08-06,0001104659-21-101531,tm2124374d1_8k.htm,196019,CRWD,0001535527,https://www.sec.gov/Archives/edgar/data/1535527/000110465921101531/0001104659-21-101531-index.htm
8-K,2021-07-02,0001104659-21-089005,tm2121414d1_8k.htm,264971,CRWD,0001535527,https://www.sec.gov/Archives/edgar/data/1535527/000110465921089005/0001104659-21-089005-index.htm
10-Q,2021-06-04,0001535527-21-000013,crwd-20210430.htm,12542442,CRWD,0001535527,https://www.sec.gov/Archives/edgar/data/1535527/000153552721000013/0001535527-21-000013-index.htm
8-K,2021-06-03,0001535527-21-000011,crwd-20210603.htm,627468,CRWD,0001535527,https://www.sec.gov/Archives/edgar/data/1535527/000153552721000011/0001535527-21-000011-index.htm
8-K,2021-04-09,0001104659-21-048810,tm2112658d1_8k.htm,203780,CRWD,0001535527,https://www.sec.gov/Archives/edgar/data/1535527/000110465921048810/0001104659-21-048810-index.htm
10-K,2021-03-18,0001535527-21-000007,crwd-20210131.htm,13755446,CRWD,0001535527,https://www.sec.gov/Archives/edgar/data/1535527/000153552721000007/0001535527-21-000007-index.htm
8-K,2021-03-16,0001535527-21-000005,crwd-20210316.htm,759037,CRWD,0001535527,https://www.sec.gov/Archives/edgar/data/1535527/000153552721000005/0001535527-21-000005-index.htm
8-K,2021-03-12,0001104659-21-035670,tm219494d1_8k.htm,236051,CRWD,0001535527,https://www.sec.gov/Archives/edgar/data/1535527/000110465921035670/0001104659-21-035670-index.htm
