form,date,accession,document,size_bytes,ticker,cik,edgar_url
8-K,2026-05-22,0001373715-26-000065,now-20260521.htm,401692,NOW,1373715,
8-K,2026-05-15,0001193125-26-226644,d60522d8k.htm,1084570,NOW,1373715,
10-Q,2026-04-23,0001373715-26-000056,now-20260331.htm,8493141,NOW,1373715,
8-K,2026-04-22,0001373715-26-000054,now-20260417.htm,37921854,NOW,1373715,
8-K,2026-04-01,0001373715-26-000030,now-20260401.htm,1516271,NOW,1373715,
8-K,2026-02-17,0001373715-26-000014,now-20260213.htm,141713,NOW,1373715,
8-K,2026-02-11,0001373715-26-000012,now-20260210.htm,143092,NOW,1373715,
10-K,2026-01-29,0001373715-26-000007,now-20251231.htm,44800552,NOW,1373715,
8-K,2026-01-28,0001373715-26-000005,now-20260128.htm,771220,NOW,1373715,
8-K,2025-12-23,0001373715-25-000335,now-20251223.htm,340469,NOW,1373715,
8-K,2025-12-15,0001373715-25-000329,now-20251215.htm,184126,NOW,1373715,
8-K,2025-12-05,0001373715-25-000321,now-20251205.htm,194935,NOW,1373715,
10-Q,2025-10-30,0001373715-25-000309,now-20250930.htm,7902341,NOW,1373715,
8-K,2025-10-29,0001373715-25-000305,now-20251029.htm,721135,NOW,1373715,
8-K,2025-09-26,0001373715-25-000300,now-20250926.htm,202663,NOW,1373715,
10-Q,2025-07-24,0001373715-25-000276,now-20250630.htm,7801158,NOW,1373715,
8-K,2025-07-23,0001373715-25-000274,now-20250723.htm,715968,NOW,1373715,
8-K,2025-05-30,0001373715-25-000243,now-20250530.htm,204022,NOW,1373715,
8-K,2025-05-27,0001373715-25-000208,now-20250522.htm,229277,NOW,1373715,
10-Q,2025-04-23,0001373715-25-000126,now-20250331.htm,7257165,NOW,1373715,
8-K,2025-04-23,0001373715-25-000124,now-20250421.htm,618076,NOW,1373715,
8-K,2025-03-10,0001373715-25-000095,now-20250310.htm,199735,NOW,1373715,
8-K,2025-02-12,0001373715-25-000051,now-20250211.htm,431662,NOW,1373715,
10-K,2025-01-30,0001373715-25-000010,now-20241231.htm,11657079,NOW,1373715,
8-K,2025-01-29,0001373715-25-000007,now-20250129.htm,747878,NOW,1373715,
8-K,2024-12-27,0001373715-24-000426,now-20241224.htm,352553,NOW,1373715,
10-Q,2024-10-24,0001373715-24-000344,now-20240930.htm,7910545,NOW,1373715,
8-K,2024-10-23,0001373715-24-000342,now-20241021.htm,851126,NOW,1373715,
10-Q,2024-07-25,0001373715-24-000272,now-20240630.htm,7743178,NOW,1373715,
8-K,2024-07-24,0001373715-24-000269,now-20240724.htm,809563,NOW,1373715,
8-K,2024-05-23,0001373715-24-000232,now-20240523.htm,172759,NOW,1373715,
10-Q,2024-05-06,0001373715-24-000169,now-20240331.htm,7028098,NOW,1373715,
8-K,2024-04-24,0001373715-24-000163,now-20240424.htm,615749,NOW,1373715,
10-K,2024-01-25,0001373715-24-000030,now-20231231.htm,11652815,NOW,1373715,
8-K,2024-01-24,0001373715-24-000009,now-20240124.htm,754412,NOW,1373715,
10-Q,2023-10-26,0001373715-23-000419,now-20230930.htm,7545170,NOW,1373715,
8-K,2023-10-25,0001373715-23-000417,now-20231025.htm,717384,NOW,1373715,
10-Q,2023-07-27,0001373715-23-000325,now-20230630.htm,7427519,NOW,1373715,
8-K,2023-07-26,0001373715-23-000323,now-20230726.htm,701878,NOW,1373715,
8-K,2023-06-02,0001373715-23-000282,now-20230601.htm,433644,NOW,1373715,
8-K,2023-05-16,0001373715-23-000220,now-20230516.htm,189733,NOW,1373715,
10-Q,2023-04-27,0001373715-23-000166,now-20230331.htm,7071189,NOW,1373715,
8-K,2023-04-26,0001373715-23-000162,now-20230424.htm,644999,NOW,1373715,
10-K,2023-01-31,0001373715-23-000035,now-20221231.htm,11540320,NOW,1373715,
8-K,2023-01-25,0001373715-23-000016,now-20230124.htm,855782,NOW,1373715,
10-Q,2022-10-27,0001373715-22-000330,now-20220930.htm,8538986,NOW,1373715,
8-K,2022-10-26,0001373715-22-000329,now-20221023.htm,817050,NOW,1373715,
8-K,2022-08-24,0001373715-22-000309,now-20220822.htm,169602,NOW,1373715,https://www.sec.gov/Archives/edgar/data/1373715/000137371522000309/0001373715-22-000309-index.htm
10-Q,2022-07-28,0001373715-22-000241,now-20220630.htm,9028180,NOW,1373715,https://www.sec.gov/Archives/edgar/data/1373715/000137371522000241/0001373715-22-000241-index.htm
8-K,2022-07-27,0001373715-22-000239,now-20220725.htm,801674,NOW,1373715,https://www.sec.gov/Archives/edgar/data/1373715/000137371522000239/0001373715-22-000239-index.htm
8-K,2022-06-10,0001373715-22-000207,now-20220609.htm,189905,NOW,1373715,https://www.sec.gov/Archives/edgar/data/1373715/000137371522000207/0001373715-22-000207-index.htm
10-Q,2022-04-28,0001373715-22-000134,now-20220331.htm,8330039,NOW,1373715,https://www.sec.gov/Archives/edgar/data/1373715/000137371522000134/0001373715-22-000134-index.htm
8-K,2022-04-27,0001373715-22-000132,now-20220427.htm,689276,NOW,1373715,https://www.sec.gov/Archives/edgar/data/1373715/000137371522000132/0001373715-22-000132-index.htm
10-K,2022-02-03,0001373715-22-000024,now-20211231.htm,11528538,NOW,1373715,https://www.sec.gov/Archives/edgar/data/1373715/000137371522000024/0001373715-22-000024-index.htm
8-K,2022-01-26,0001373715-22-000006,now-20220125.htm,911963,NOW,1373715,https://www.sec.gov/Archives/edgar/data/1373715/000137371522000006/0001373715-22-000006-index.htm
8-K,2021-12-17,0001373715-21-000350,now-20211213.htm,184922,NOW,1373715,https://www.sec.gov/Archives/edgar/data/1373715/000137371521000350/0001373715-21-000350-index.htm
10-Q,2021-10-28,0001373715-21-000292,now-20210930.htm,8593726,NOW,1373715,https://www.sec.gov/Archives/edgar/data/1373715/000137371521000292/0001373715-21-000292-index.htm
8-K,2021-10-27,0001373715-21-000289,now-20211026.htm,182942,NOW,1373715,https://www.sec.gov/Archives/edgar/data/1373715/000137371521000289/0001373715-21-000289-index.htm
