form,date,accession,document,size_bytes,ticker,cik
8-K,2026-06-29,0001104659-26-078814,tm2618983d1_8k.htm,371382,PM,0001413329
8-K,2026-06-11,0001628280-26-042357,pm-20260611.htm,796291,PM,0001413329
8-K,2026-06-02,0001628280-26-039666,pm-20260602.htm,834321,PM,0001413329
8-K,2026-05-20,0001628280-26-036721,pm-20260518.htm,816292,PM,0001413329
8-K,2026-05-08,0001628280-26-032644,pm-20260506.htm,357225,PM,0001413329
8-K,2026-05-06,0001628280-26-030959,pm-20260506.htm,811258,PM,0001413329
8-K,2026-04-29,0001104659-26-051491,tm2612413d4_8k.htm,716048,PM,0001413329
10-Q,2026-04-24,0001628280-26-027019,pm-20260331.htm,11190508,PM,0001413329
8-K,2026-04-22,0001628280-26-026385,pm-20260422.htm,1639091,PM,0001413329
8-K,2026-03-13,0001628280-26-017497,pm-20260313.htm,3479685,PM,0001413329
8-K,2026-03-05,0001628280-26-014994,pm-20260305.htm,799660,PM,0001413329
8-K,2026-02-18,0001628280-26-008831,pm-20260218.htm,5042718,PM,0001413329
8-K,2026-02-18,0001628280-26-008790,pm-20260218.htm,856765,PM,0001413329
10-K,2026-02-06,0001628280-26-005939,pm-20251231.htm,23998499,PM,0001413329
8-K,2026-02-06,0001628280-26-005932,pm-20260206.htm,3000939,PM,0001413329
8-K,2026-01-15,0001628280-26-002116,pm-20260115.htm,583058,PM,0001413329
8-K,2025-12-12,0001628280-25-056649,pm-20251212.htm,818121,PM,0001413329
8-K,2025-12-11,0001104659-25-120310,tm2532876d1_8k.htm,1151087,PM,0001413329
8-K,2025-12-02,0001628280-25-054598,pm-20251202.htm,506066,PM,0001413329
8-K,2025-11-17,0001104659-25-113182,tm2530842d1_8k.htm,399225,PM,0001413329
8-K,2025-11-04,0001628280-25-048526,pm-20251031.htm,794773,PM,0001413329
8-K,2025-10-29,0001104659-25-103715,tm2529615d1_8k.htm,1003915,PM,0001413329
10-Q,2025-10-24,0001628280-25-046179,pm-20250930.htm,15834582,PM,0001413329
8-K,2025-10-21,0001628280-25-045579,pm-20251021.htm,2965990,PM,0001413329
8-K,2025-09-19,0001628280-25-042043,pm-20250919.htm,818853,PM,0001413329
8-K,2025-09-02,0001413329-25-000154,pm-20250902.htm,858566,PM,0001413329
10-Q,2025-07-25,0001413329-25-000150,pm-20250630.htm,15672856,PM,0001413329
8-K,2025-07-22,0001413329-25-000145,pm-20250722.htm,2849577,PM,0001413329
8-K,2025-06-24,0001413329-25-000141,pm-20250624.htm,11867839,PM,0001413329
8-K,2025-06-13,0001413329-25-000137,pm-20250613.htm,822891,PM,0001413329
8-K,2025-06-06,0001104659-25-057314,tm2517118d1_8k.htm,744195,PM,0001413329
8-K,2025-06-03,0001413329-25-000130,pm-20250603.htm,863594,PM,0001413329
8-K,2025-05-09,0001413329-25-000104,pm-20250507.htm,397516,PM,0001413329
8-K,2025-05-07,0001413329-25-000099,pm-20250507.htm,851606,PM,0001413329
8-K,2025-04-30,0001104659-25-042567,tm2513464d1_8k.htm,901345,PM,0001413329
10-Q,2025-04-24,0001413329-25-000094,pm-20250331.htm,13027833,PM,0001413329
8-K,2025-04-23,0001413329-25-000091,pm-20250423.htm,2124256,PM,0001413329
8-K,2025-03-25,0001413329-25-000087,pm-20250325.htm,2982780,PM,0001413329
8-K,2025-03-07,0001413329-25-000081,pm-20250306.htm,862987,PM,0001413329
8-K,2025-03-06,0001413329-25-000078,pm-20250306.htm,843615,PM,0001413329
8-K,2025-02-19,0001413329-25-000047,pm-20250219.htm,4460871,PM,0001413329
8-K,2025-02-19,0001413329-25-000045,pm-20250219.htm,881735,PM,0001413329
10-K,2025-02-06,0001413329-25-000013,pm-20241231.htm,25629346,PM,0001413329
8-K,2025-02-06,0001413329-25-000011,pm-20250206.htm,3510098,PM,0001413329
8-K,2025-01-16,0001413329-25-000006,pm-20250116.htm,408186,PM,0001413329
8-K,2025-01-02,0001413329-25-000002,pm-20241231.htm,376724,PM,0001413329
8-K,2024-12-17,0001104659-24-129362,tm2430819d1_8k.htm,963045,PM,0001413329
8-K,2024-12-12,0001413329-24-000185,pm-20241212.htm,842984,PM,0001413329
8-K,2024-11-21,0001104659-24-121514,tm2429026d1_8k.htm,407123,PM,0001413329
8-K,2024-11-01,0001104659-24-113481,tm2426896d4_8k.htm,900070,PM,0001413329
10-Q,2024-10-24,0001413329-24-000172,pm-20240930.htm,15167791,PM,0001413329
8-K,2024-10-22,0001413329-24-000167,pm-20241022.htm,3498016,PM,0001413329
8-K,2024-10-18,0001413329-24-000163,pm-20241018.htm,880757,PM,0001413329
8-K,2024-09-17,0001413329-24-000160,pm-20240917.htm,433207,PM,0001413329
8-K,2024-09-12,0001413329-24-000157,pm-20240912.htm,852564,PM,0001413329
8-K,2024-09-03,0001413329-24-000155,pm-20240903.htm,889205,PM,0001413329
10-Q,2024-07-25,0001413329-24-000145,pm-20240630.htm,14792790,PM,0001413329
8-K,2024-07-23,0001413329-24-000140,pm-20240723.htm,3366222,PM,0001413329
8-K,2024-06-17,0001413329-24-000131,pm-20240617.htm,859514,PM,0001413329
8-K,2024-06-07,0001413329-24-000128,pm-20240607.htm,851636,PM,0001413329
8-K,2024-06-06,0001104659-24-069077,tm2415908d5_8k.htm,693880,PM,0001413329
8-K,2024-06-04,0001413329-24-000126,pm-20240604.htm,1696845,PM,0001413329
8-K,2024-05-09,0001413329-24-000100,pm-20240508.htm,408657,PM,0001413329
8-K,2024-05-08,0001413329-24-000094,pm-20240508.htm,862110,PM,0001413329
10-Q,2024-04-26,0001413329-24-000087,pm-20240331.htm,12775331,PM,0001413329
8-K,2024-04-23,0001413329-24-000083,pm-20240423.htm,2426108,PM,0001413329
8-K,2024-03-07,0001413329-24-000073,pm-20240307.htm,853873,PM,0001413329
8-K,2024-02-27,0001413329-24-000071,pm-20240227.htm,2823166,PM,0001413329
8-K,2024-02-21,0001413329-24-000039,pm-20240221.htm,5412934,PM,0001413329
