form,date,accession,document,size_bytes,ticker,cik,edgar_url
8-K,2026-06-30,0001640147-26-000032,snow-20260629.htm,190844,SNOW,1640147,
10-Q,2026-05-29,0001640147-26-000030,snow-20260430.htm,11739253,SNOW,1640147,
8-K,2026-05-27,0001640147-26-000027,snow-20260527.htm,685806,SNOW,1640147,
8-K,2026-03-31,0001640147-26-000013,snow-20260331.htm,205216,SNOW,1640147,
10-K,2026-03-20,0001640147-26-000008,snow-20260131.htm,17816574,SNOW,1640147,
8-K,2026-02-25,0001628280-26-011631,snow-20260225.htm,869926,SNOW,1640147,
8-K,2026-02-02,0001628280-26-004606,snow-20260128.htm,178067,SNOW,1640147,
10-Q,2025-12-05,0001640147-25-000211,snow-20251031.htm,12481489,SNOW,1640147,
8-K,2025-12-03,0001640147-25-000207,snow-20251203.htm,852129,SNOW,1640147,
8-K,2025-10-27,0001628280-25-046310,snow-20251027.htm,178594,SNOW,1640147,
10-Q,2025-09-05,0001640147-25-000187,snow-20250731.htm,13216030,SNOW,1640147,
8-K,2025-09-03,0001640147-25-000181,snow-20250903.htm,1052171,SNOW,1640147,
8-K,2025-08-27,0001640147-25-000177,snow-20250827.htm,835204,SNOW,1640147,
8-K,2025-07-03,0001640147-25-000150,snow-20250702.htm,269295,SNOW,1640147,
10-Q,2025-05-30,0001640147-25-000110,snow-20250430.htm,10265917,SNOW,1640147,
8-K,2025-05-21,0001640147-25-000094,snow-20250521.htm,733235,SNOW,1640147,
8-K,2025-05-08,0001640147-25-000078,snow-20250507.htm,205881,SNOW,1640147,
10-K,2025-03-21,0001640147-25-000052,snow-20250131.htm,17452464,SNOW,1640147,
8-K,2025-03-06,0001640147-25-000027,snow-20250304.htm,188886,SNOW,1640147,
8-K,2025-02-26,0001640147-25-000017,snow-20250225.htm,345671,SNOW,1640147,
8-K,2025-02-26,0001640147-25-000016,snow-20250226.htm,851386,SNOW,1640147,
10-Q,2024-11-27,0001640147-24-000250,snow-20241031.htm,12620224,SNOW,1640147,
8-K,2024-11-20,0001640147-24-000242,snow-20241120.htm,827263,SNOW,1640147,
8-K,2024-09-27,0001640147-24-000234,snow-20240923.htm,2676072,SNOW,1640147,
10-Q,2024-08-29,0001640147-24-000207,snow-20240731.htm,11472412,SNOW,1640147,
8-K,2024-08-21,0001640147-24-000203,snow-20240821.htm,765416,SNOW,1640147,
8-K,2024-07-05,0001640147-24-000193,snow-20240702.htm,202386,SNOW,1640147,
8-K,2024-07-02,0001640147-24-000183,snow-20240630.htm,190500,SNOW,1640147,
10-Q,2024-05-31,0001640147-24-000135,snow-20240430.htm,9680400,SNOW,1640147,
8-K,2024-05-22,0001640147-24-000122,snow-20240522.htm,667750,SNOW,1640147,
10-K,2024-03-26,0001640147-24-000101,snow-20240131.htm,15878922,SNOW,1640147,
8-K,2024-02-28,0001640147-24-000033,snow-20240227.htm,274094,SNOW,1640147,
8-K,2024-02-28,0001640147-24-000031,snow-20240227.htm,785859,SNOW,1640147,
10-Q,2023-12-01,0001640147-23-000260,snow-20231031.htm,10925943,SNOW,1640147,
8-K,2023-11-29,0001640147-23-000253,snow-20231128.htm,966110,SNOW,1640147,
10-Q,2023-08-31,0001640147-23-000199,snow-20230731.htm,10538372,SNOW,1640147,
8-K,2023-08-23,0001640147-23-000193,snow-20230822.htm,1153919,SNOW,1640147,
8-K,2023-07-12,0001640147-23-000164,snow-20230705.htm,164646,SNOW,1640147,
10-Q,2023-06-02,0001640147-23-000102,snow-20230430.htm,9933201,SNOW,1640147,
8-K,2023-05-24,0001640147-23-000073,snow-20230523.htm,686386,SNOW,1640147,
8-K,2023-04-07,0001640147-23-000044,snow-20230405.htm,312092,SNOW,1640147,
10-K,2023-03-29,0001640147-23-000030,snow-20230131.htm,13618521,SNOW,1640147,
8-K,2023-03-01,0001640147-23-000004,snow-20230301.htm,770361,SNOW,1640147,
10-Q,2022-12-02,0001640147-22-000100,snow-20221031.htm,10945750,SNOW,1640147,
8-K,2022-11-30,0001640147-22-000097,snow-20221130.htm,752057,SNOW,1640147,
10-Q,2022-09-01,0001640147-22-000084,snow-20220731.htm,10338946,SNOW,1640147,
8-K,2022-08-24,0001640147-22-000078,snow-20220824.htm,788008,SNOW,1640147,
8-K,2022-07-12,0001640147-22-000074,snow-20220707.htm,182900,SNOW,1640147,
10-Q,2022-06-03,0001640147-22-000044,snow-20220430.htm,9437050,SNOW,1640147,
8-K,2022-05-25,0001640147-22-000031,snow-20220525.htm,582407,SNOW,1640147,
