Date,Close,High,Low,Open,Volume,ticker
2010-01-04,231.0,248.5,227.5,227.5,171,EFOI
2010-01-05,273.0,290.5,248.5,248.5,678,EFOI
2010-01-06,266.0,280.0,259.0,280.0,133,EFOI
2010-01-07,280.0,290.5,269.5,276.5,211,EFOI
2010-01-08,322.0,329.0,283.5,283.5,361,EFOI
2010-01-11,329.0,350.0,329.0,332.5,265,EFOI
2010-01-12,444.5,525.0,367.5,367.5,1425,EFOI
2010-01-13,395.5,469.0,385.0,451.5,453,EFOI
2010-01-14,399.0,427.0,395.5,395.5,324,EFOI
2010-01-15,409.5,416.5,392.0,399.0,93,EFOI
2010-01-19,409.5,427.0,409.5,416.5,158,EFOI
2010-01-20,420.0,444.5,399.0,416.5,451,EFOI
2010-01-21,420.0,427.0,399.0,420.0,291,EFOI
2010-01-22,409.5,430.5,402.5,406.0,112,EFOI
2010-01-25,392.0,423.5,385.0,409.5,144,EFOI
2010-01-26,402.5,402.5,385.0,388.5,42,EFOI
2010-01-27,413.0,416.5,385.0,402.5,83,EFOI
2010-01-28,395.5,416.5,395.5,416.5,86,EFOI
2010-01-29,399.0,402.5,374.5,402.5,42,EFOI
2010-02-01,395.5,413.0,388.5,413.0,64,EFOI
2010-02-02,381.5,385.0,371.0,385.0,158,EFOI
2010-02-03,367.5,385.0,367.5,381.5,20,EFOI
2010-02-04,350.0,381.5,350.0,374.5,59,EFOI
2010-02-05,353.5,364.0,350.0,353.5,57,EFOI
2010-02-08,350.0,371.0,343.0,343.0,22,EFOI
2010-02-09,364.0,423.5,343.0,423.5,30,EFOI
2010-02-10,357.0,367.5,357.0,367.5,17,EFOI
2010-02-11,367.5,367.5,357.0,357.0,6,EFOI
2010-02-12,360.5,367.5,360.5,364.0,15,EFOI
2010-02-16,343.0,367.5,343.0,367.5,142,EFOI
2010-02-17,350.0,357.0,343.0,350.0,29,EFOI
2010-02-18,332.5,346.5,332.5,339.5,47,EFOI
2010-02-19,322.0,329.0,304.5,329.0,73,EFOI
2010-02-22,322.0,329.0,315.0,318.5,54,EFOI
2010-02-23,350.0,353.5,301.0,322.0,195,EFOI
2010-02-24,357.0,357.0,325.5,339.5,97,EFOI
2010-02-25,357.0,409.5,322.0,357.0,379,EFOI
2010-02-26,329.0,357.0,322.0,357.0,247,EFOI
2010-03-01,357.0,378.0,332.5,332.5,182,EFOI
2010-03-02,378.0,381.5,294.0,350.0,85,EFOI
2010-03-03,381.5,402.5,360.5,371.0,152,EFOI
2010-03-04,381.5,402.5,374.5,395.5,70,EFOI
2010-03-05,364.0,399.0,364.0,381.5,60,EFOI
2010-03-08,395.5,402.5,350.0,371.0,69,EFOI
