Date,Close,High,Low,Open,Volume,ticker
2025-01-22,101.5,110.25,92.5,97.5999984741211,33464,DXST
2025-01-23,62.5,143.5,55.5,131.25,464392,DXST
2025-01-24,51.0,57.5,47.5,53.75,44924,DXST
2025-01-27,53.25,54.5,43.0,43.0,23272,DXST
2025-01-28,43.0,51.25,41.0,48.5,16356,DXST
2025-01-29,53.95000076293945,58.5,40.775001525878906,42.5,89640,DXST
2025-01-30,42.5,50.375,41.25,47.5,37412,DXST
2025-01-31,41.25,43.5,40.25,42.5,10136,DXST
2025-02-03,42.75,42.75,39.5,40.0,9324,DXST
2025-02-04,47.5,47.5,40.0,40.5,13008,DXST
2025-02-05,44.5,46.0,42.5,45.0,6848,DXST
2025-02-06,43.5,45.0,41.5,43.0,3772,DXST
2025-02-07,39.875,44.400001525878906,39.75,42.25,4388,DXST
2025-02-10,35.0,42.5,34.0,39.0,5116,DXST
2025-02-11,33.5,37.25,30.274999618530273,35.5,3640,DXST
2025-02-12,33.0,33.75,30.325000762939453,32.75,4596,DXST
2025-02-13,33.5,33.75,31.174999237060547,33.0,2536,DXST
2025-02-14,38.75,39.5,32.0,32.5,5924,DXST
2025-02-18,36.0,41.150001525878906,30.75,39.75,5716,DXST
2025-02-19,37.0,39.29999923706055,35.0,35.0,2540,DXST
2025-02-20,36.5,38.75,35.25,37.625,2260,DXST
2025-02-21,35.25,37.474998474121094,33.75,35.5,1400,DXST
2025-02-24,34.82500076293945,37.75,32.5,37.75,1468,DXST
2025-02-25,33.75,37.5,31.5,33.75,1212,DXST
2025-02-26,35.5,37.224998474121094,32.474998474121094,34.0,960,DXST
2025-02-27,33.25,35.275001525878906,33.0,33.75,1556,DXST
2025-02-28,32.0,34.54999923706055,31.5,33.0,1872,DXST
2025-03-03,30.25,34.75,30.25,31.75,1824,DXST
2025-03-04,27.25,30.75,27.0,29.25,7372,DXST
2025-03-05,27.5,28.75,26.5,27.625,1956,DXST
2025-03-06,27.0,28.75,27.0,27.75,632,DXST
2025-03-07,24.25,28.75,21.524999618530273,26.5,1912,DXST
2025-03-10,24.5,28.450000762939453,24.5,24.75,732,DXST
2025-03-11,24.5,25.0,23.25,24.75,708,DXST
2025-03-12,25.375,26.875,24.0,24.0,564,DXST
2025-03-13,25.25,25.950000762939453,23.5,25.25,184,DXST
2025-03-14,24.75,26.5,23.125,23.475000381469727,1156,DXST
