Date,Close,High,Low,Open,Volume,ticker
2010-01-04,685.0,686.5,585.0,585.0,18328,GURE
2010-01-05,682.5,703.0,652.5,686.0,9232,GURE
2010-01-06,692.5,705.0,677.5,699.5,4172,GURE
2010-01-07,677.5,699.0,652.5,691.5,7026,GURE
2010-01-08,724.5,725.0,655.0,675.0,9594,GURE
2010-01-11,737.0,747.0,717.5,746.5,6406,GURE
2010-01-12,699.0,733.0,678.5,722.5,5602,GURE
2010-01-13,669.5,694.0,657.5,691.0,6722,GURE
2010-01-14,664.0,673.5,660.0,670.0,2262,GURE
2010-01-15,659.5,665.0,620.0,660.0,8052,GURE
2010-01-19,658.0,670.0,637.5,659.5,5276,GURE
2010-01-20,616.5,654.0,605.0,654.0,5674,GURE
2010-01-21,569.0,620.0,550.5,611.5,11370,GURE
2010-01-22,570.5,600.5,555.5,570.0,7554,GURE
2010-01-25,549.0,590.0,545.0,572.0,5860,GURE
2010-01-26,504.5,540.5,492.0,539.0,10334,GURE
2010-01-27,516.5,517.5,480.0,498.0,6892,GURE
2010-01-28,484.0,523.5,483.0,519.0,4324,GURE
2010-01-29,474.0,506.5,457.0,489.5,5672,GURE
2010-02-01,493.5,497.0,459.5,464.0,4114,GURE
2010-02-02,533.5,541.5,501.5,507.0,6294,GURE
2010-02-03,523.0,546.5,513.5,534.0,3542,GURE
2010-02-04,484.0,520.0,475.0,515.5,4992,GURE
2010-02-05,495.0,495.0,455.5,482.0,4578,GURE
2010-02-08,468.5,503.0,464.0,503.0,3350,GURE
2010-02-09,480.5,493.0,462.5,468.0,4206,GURE
2010-02-10,479.0,494.5,470.5,487.0,1584,GURE
2010-02-11,509.5,510.0,476.5,476.5,3412,GURE
2010-02-12,505.0,517.5,487.5,505.0,2568,GURE
2010-02-16,517.5,531.0,500.0,514.5,3150,GURE
2010-02-17,518.0,539.5,511.5,534.5,3894,GURE
2010-02-18,514.0,520.0,507.0,518.0,1680,GURE
2010-02-19,523.5,523.5,500.0,507.5,2446,GURE
2010-02-22,514.0,531.0,508.5,525.0,2056,GURE
2010-02-23,508.0,523.5,488.0,514.5,3252,GURE
2010-02-24,477.5,512.5,476.5,512.0,6262,GURE
2010-02-25,484.5,495.0,450.5,482.5,5416,GURE
2010-02-26,486.5,499.5,480.0,495.5,2102,GURE
2010-03-01,515.0,522.5,487.5,487.5,3136,GURE
2010-03-02,550.0,551.5,510.0,517.5,6334,GURE
2010-03-03,558.5,594.0,553.0,570.0,9196,GURE
2010-03-04,585.5,586.5,553.5,559.0,4500,GURE
2010-03-05,629.5,629.5,587.5,588.0,7522,GURE
2010-03-08,630.5,655.0,610.0,644.5,4520,GURE
2010-03-09,619.5,648.5,612.5,648.5,4540,GURE
2010-03-10,601.0,615.5,578.5,615.5,4528,GURE
2010-03-11,587.5,600.0,570.0,600.0,3368,GURE
2010-03-12,594.0,595.5,570.5,592.5,2938,GURE
2010-03-15,576.5,596.5,572.5,594.5,1748,GURE
2010-03-16,587.5,592.0,553.5,577.5,3578,GURE
2010-03-17,607.0,610.0,585.0,590.5,4754,GURE
2010-03-18,601.0,624.5,588.0,614.5,3168,GURE
2010-03-19,571.5,605.0,567.5,571.5,3412,GURE
2010-03-22,550.0,575.0,541.5,559.0,4508,GURE
2010-03-23,575.0,575.0,550.0,555.5,3474,GURE
2010-03-24,598.0,605.0,570.0,571.0,4556,GURE
2010-03-25,565.0,608.5,562.5,604.0,3704,GURE
2010-03-26,560.5,574.5,552.5,574.5,4280,GURE
2010-03-29,577.0,577.5,562.0,562.0,2076,GURE
2010-03-30,565.0,587.5,562.5,580.0,2000,GURE
2010-03-31,580.5,584.5,563.0,564.0,2816,GURE
2010-04-01,574.5,589.5,573.0,586.5,3020,GURE
2010-04-05,577.0,581.5,571.0,577.0,3066,GURE
2010-04-06,578.5,581.5,575.0,581.5,2396,GURE
2010-04-07,554.0,578.0,551.0,578.0,6410,GURE
2010-04-08,530.5,554.0,524.5,548.0,7394,GURE
2010-04-09,527.0,539.0,516.5,531.5,3828,GURE
2010-04-12,521.0,550.0,516.5,525.0,6442,GURE
2010-04-13,518.5,525.0,510.0,521.0,3850,GURE
2010-04-14,584.5,587.5,538.0,553.5,13392,GURE
2010-04-15,592.5,600.0,579.5,585.0,6658,GURE
2010-04-16,586.0,599.5,575.0,592.5,5184,GURE
2010-04-19,577.5,584.0,567.0,578.0,4406,GURE
2010-04-20,570.0,580.0,562.5,577.5,4140,GURE
2010-04-21,567.5,575.0,565.0,570.0,1520,GURE
2010-04-22,587.5,590.0,551.0,561.5,2736,GURE
2010-04-23,574.5,595.0,566.0,594.0,3884,GURE
2010-04-26,573.5,580.0,562.5,571.0,1756,GURE
2010-04-27,536.0,573.5,535.0,573.5,3806,GURE
2010-04-28,535.5,559.5,535.0,541.0,2436,GURE
2010-04-29,545.5,553.5,535.5,548.5,1586,GURE
2010-04-30,537.5,548.0,535.0,545.0,1334,GURE
2010-05-03,542.5,552.0,533.5,542.5,2544,GURE
2010-05-04,510.5,539.5,504.5,535.0,4392,GURE
2010-05-05,485.5,503.0,481.0,500.5,4118,GURE
2010-05-06,464.0,491.0,412.5,482.5,5032,GURE
2010-05-07,448.5,471.5,438.5,465.0,3992,GURE
2010-05-10,492.0,493.5,475.0,490.0,5142,GURE
2010-05-11,463.5,488.0,455.5,471.5,4810,GURE
2010-05-12,509.5,517.5,461.5,464.5,4876,GURE
2010-05-13,513.5,534.0,500.0,511.0,3290,GURE
2010-05-14,490.5,504.0,468.5,501.5,3828,GURE
2010-05-17,479.0,495.5,450.0,493.5,3708,GURE
2010-05-18,465.0,492.5,463.0,490.0,2140,GURE
2010-05-19,462.0,466.0,440.0,456.0,3502,GURE
2010-05-20,403.0,449.5,392.5,431.5,8666,GURE
2010-05-21,452.5,454.5,385.5,394.0,7008,GURE
2010-05-24,455.5,471.0,446.5,447.5,2024,GURE
2010-05-25,459.5,462.0,425.5,433.0,3020,GURE
2010-05-26,477.0,487.0,464.0,464.5,12570,GURE
2010-05-27,502.0,509.5,482.5,494.5,5074,GURE
2010-05-28,491.5,505.5,478.5,502.5,1312,GURE
2010-06-01,476.5,489.5,476.5,484.0,2970,GURE
2010-06-02,495.0,495.0,476.5,480.0,1484,GURE
2010-06-03,490.5,503.0,479.0,493.5,950,GURE
2010-06-04,457.5,486.0,456.0,483.5,2816,GURE
2010-06-07,431.0,459.5,430.0,457.5,4202,GURE
2010-06-08,423.5,441.5,410.5,435.0,3804,GURE
2010-06-09,437.0,472.5,432.5,432.5,2186,GURE
2010-06-10,451.0,458.0,440.5,441.0,1620,GURE
2010-06-11,482.5,485.0,452.5,452.5,3404,GURE
2010-06-14,476.5,497.0,476.5,495.0,1388,GURE
2010-06-15,495.0,495.0,474.5,487.0,1466,GURE
2010-06-16,505.0,509.5,478.0,493.5,2050,GURE
2010-06-17,487.0,511.0,484.0,505.5,1216,GURE
2010-06-18,487.5,494.0,485.0,491.0,1598,GURE
2010-06-21,491.0,507.0,487.5,500.0,1522,GURE
2010-06-22,463.5,500.0,457.0,493.5,1504,GURE
2010-06-23,470.0,475.5,460.0,469.5,722,GURE
2010-06-24,446.0,470.0,442.5,468.0,1384,GURE
2010-06-25,461.0,462.5,444.5,449.5,1256,GURE
2010-06-28,469.5,472.5,459.0,461.0,554,GURE
2010-06-29,426.5,460.0,415.5,460.0,3840,GURE
2010-06-30,429.5,438.5,413.5,425.0,2092,GURE
2010-07-01,449.0,458.5,406.0,428.0,3466,GURE
2010-07-02,431.0,444.0,415.5,442.0,1584,GURE
2010-07-06,407.5,446.5,403.0,438.0,3028,GURE
2010-07-07,428.0,432.5,405.5,407.0,1592,GURE
2010-07-08,432.5,436.5,419.5,435.5,868,GURE
2010-07-09,442.5,444.5,426.5,435.0,1838,GURE
2010-07-12,446.0,453.0,439.5,442.5,1576,GURE
2010-07-13,470.0,471.5,443.5,452.5,1728,GURE
2010-07-14,459.5,469.0,453.5,466.0,880,GURE
2010-07-15,448.0,460.5,441.0,460.5,728,GURE
