Date,Close,High,Low,Open,Volume,ticker
2010-01-04,2220.0,2250.0,2115.0,2250.0,11,LSTA
2010-01-05,2220.0,2235.0,1995.0,2220.0,12,LSTA
2010-01-06,2175.0,2175.0,2070.0,2070.0,21,LSTA
2010-01-07,2220.0,2220.0,2130.0,2145.0,12,LSTA
2010-01-08,2235.0,2250.0,2145.0,2175.0,21,LSTA
2010-01-11,2250.0,2325.0,2130.0,2250.0,62,LSTA
2010-01-12,2160.0,2280.0,2160.0,2265.0,12,LSTA
2010-01-13,2310.0,2310.0,2145.0,2175.0,15,LSTA
2010-01-14,2325.0,2325.0,2205.0,2250.0,6,LSTA
2010-01-15,2655.0,2700.0,2265.0,2265.0,78,LSTA
2010-01-19,3000.0,3225.0,2805.0,2970.0,562,LSTA
2010-01-20,2775.0,3195.0,2700.0,3045.0,260,LSTA
2010-01-21,2640.0,2850.0,2400.0,2730.0,56,LSTA
2010-01-22,2385.0,2700.0,2280.0,2700.0,85,LSTA
2010-01-25,2910.0,3225.0,2445.0,2475.0,295,LSTA
2010-01-26,2970.0,3120.0,2655.0,3120.0,112,LSTA
2010-01-27,2790.0,3000.0,2745.0,2985.0,42,LSTA
2010-01-28,2700.0,2925.0,2565.0,2925.0,57,LSTA
2010-01-29,2700.0,2745.0,2700.0,2745.0,11,LSTA
2010-02-01,2760.0,2865.0,2670.0,2685.0,32,LSTA
2010-02-02,2775.0,2925.0,2730.0,2760.0,75,LSTA
2010-02-03,2580.0,2805.0,2580.0,2625.0,31,LSTA
2010-02-04,2655.0,2685.0,2625.0,2685.0,33,LSTA
2010-02-05,2685.0,2685.0,2550.0,2640.0,25,LSTA
2010-02-08,2595.0,2700.0,2490.0,2685.0,31,LSTA
2010-02-09,2505.0,2895.0,2400.0,2580.0,88,LSTA
2010-02-10,2460.0,2625.0,2400.0,2535.0,43,LSTA
2010-02-11,2430.0,2550.0,2265.0,2535.0,188,LSTA
2010-02-12,1935.0,2025.0,1890.0,2010.0,973,LSTA
2010-02-16,2010.0,2040.0,1950.0,1965.0,230,LSTA
2010-02-17,2070.0,2070.0,2010.0,2025.0,171,LSTA
2010-02-18,2175.0,2205.0,2025.0,2085.0,221,LSTA
2010-02-19,2115.0,2190.0,2115.0,2190.0,96,LSTA
2010-02-22,2115.0,2250.0,2070.0,2145.0,244,LSTA
2010-02-23,2130.0,2160.0,2100.0,2115.0,45,LSTA
2010-02-24,2130.0,2160.0,2085.0,2115.0,134,LSTA
2010-02-25,2070.0,2160.0,2010.0,2160.0,157,LSTA
2010-02-26,2130.0,2130.0,2070.0,2070.0,89,LSTA
2010-03-01,2100.0,2160.0,2100.0,2115.0,32,LSTA
2010-03-02,2100.0,2145.0,2010.0,2010.0,110,LSTA
2010-03-03,2055.0,2100.0,2040.0,2085.0,51,LSTA
2010-03-04,2010.0,2115.0,2010.0,2100.0,52,LSTA
2010-03-05,2010.0,2085.0,2010.0,2055.0,54,LSTA
2010-03-08,2025.0,2070.0,2010.0,2010.0,49,LSTA
2010-03-09,2100.0,2145.0,2010.0,2055.0,80,LSTA
2010-03-10,2205.0,2220.0,2115.0,2190.0,73,LSTA
2010-03-11,2130.0,2220.0,2100.0,2220.0,68,LSTA
2010-03-12,2400.0,2475.0,2220.0,2220.0,379,LSTA
2010-03-15,2445.0,2550.0,2370.0,2445.0,291,LSTA
2010-03-16,2655.0,2700.0,2460.0,2475.0,297,LSTA
2010-03-17,2670.0,2925.0,2640.0,2685.0,343,LSTA
2010-03-18,2640.0,2835.0,2550.0,2835.0,234,LSTA
2010-03-19,2910.0,2910.0,2595.0,2910.0,188,LSTA
2010-03-22,2730.0,2850.0,2670.0,2850.0,141,LSTA
2010-03-23,2670.0,2745.0,2670.0,2700.0,42,LSTA
2010-03-24,2640.0,2700.0,2610.0,2670.0,120,LSTA
2010-03-25,2580.0,2685.0,2520.0,2625.0,163,LSTA
2010-03-26,2520.0,2580.0,2490.0,2535.0,77,LSTA
2010-03-29,2535.0,2565.0,2505.0,2550.0,27,LSTA
2010-03-30,2700.0,2775.0,2550.0,2550.0,109,LSTA
2010-03-31,2700.0,2805.0,2610.0,2805.0,59,LSTA
